City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kirakira,SB,85.33,broken clouds,-10.4544,161.9205,SanBiz Lodge
5,Sao Filipe,CV,74.64,overcast clouds,14.8961,-24.4956,Hotel Xaguate
7,East London,ZA,72.66,clear sky,-33.0153,27.9116,Tu Casa
9,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Port Alfred,ZA,72.37,clear sky,-33.5906,26.891,The Halyards Hotel
18,Puerto Suarez,BO,89.64,broken clouds,-18.95,-57.8,Hotel casa real
19,Port Elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
21,Butaritari,KI,82.83,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
23,Busselton,AU,71.1,clear sky,-33.65,115.3333,Observatory Guest House
24,Faanui,PF,81.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
29,Rikitea,PF,78.8,overcast clouds,-23.1203,-134.9692,People ThankYou
32,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
34,Jeremoabo,BR,77.34,broken clouds,-10.075,-38.4808,
35,Carutapera,BR,77.23,overcast clouds,-1.195,-46.02,Lidera
38,Hermanus,ZA,80.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
40,Cape Town,ZA,83.26,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
48,Bengkulu,ID,75.42,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
49,Mackay,AU,81.68,overcast clouds,-21.15,149.2,International Lodge Motel
56,Mar Del Plata,AR,73.42,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
57,Isangel,VU,84.83,few clouds,-19.55,169.2667,Tanna Lodge
59,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
60,Cidreira,BR,77.45,clear sky,-30.1811,-50.2056,Hotel Castelo
61,Antigua Ocotepeque,HN,86.68,scattered clouds,14.4,-89.2,Hotel Internaciona
64,Maldonado,UY,78.19,scattered clouds,-34.6667,-54.9167,La Cimarrona
65,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
69,Soyo,AO,76.55,scattered clouds,-6.1349,12.3689,Hotel Mpampa
70,Luba,GQ,76.89,scattered clouds,3.4568,8.5547,
73,Castro,BR,72.48,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
74,Kattivakkam,IN,77.09,scattered clouds,13.2167,80.3167,Euronova Freezer
76,Ilheus,BR,82.22,scattered clouds,-14.7889,-39.0494,Barravento Hotel
77,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
78,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
79,Bredasdorp,ZA,78.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
80,Kavieng,PG,83.91,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
82,Oussouye,SN,78.98,scattered clouds,12.485,-16.5469,Auberge du Routard
84,New Norfolk,AU,75.65,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
85,Lorengau,PG,81.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
87,Tabou,CI,78.42,clear sky,4.423,-7.3528,hotêl doufoulougou
92,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
95,Kieta,PG,84.81,light rain,-6.2167,155.6333,Uruna Bay Retreat
99,Meulaboh,ID,75.43,scattered clouds,4.1363,96.1285,Kost Pria
101,Batemans Bay,AU,74.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
103,Bandarbeyla,SO,76.12,overcast clouds,9.4942,50.8122,JABIR HOTEL
107,Moerai,PF,79.83,light rain,-22.4333,-151.3333,Le Manotel
113,Avarua,CK,77.05,heavy intensity rain,-21.2078,-159.775,Paradise Inn
118,Poum,NC,80.17,broken clouds,-20.2333,164.0167,Gîte kajeon
122,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
124,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
134,Buin,CL,84.52,clear sky,-33.7333,-70.75,Paihuen
135,Viedma,AR,72.59,broken clouds,-40.8135,-62.9967,Hotel Cristal
139,Karratha,AU,85.23,broken clouds,-20.7377,116.8463,ibis Styles Karratha
141,Praia,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
142,Hobart,AU,75.02,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
148,Mananjary,MG,77.49,moderate rain,-21.2167,48.3333,Vahiny Lodge
150,Bambous Virieux,MU,81.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
154,Mahajanga,MG,77.02,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
159,Wewak,PG,80.58,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
160,Surin,TH,73.24,clear sky,14.8818,103.4936,One Fu Hotel
167,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
168,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
169,Ugoofaaru,MV,80.98,overcast clouds,5.6667,73.0,Ungoofaaru Inn
173,Chokwe,MZ,70.48,clear sky,-24.5333,32.9833,Complexo Sonho Real
178,Esmeraldas,BR,83.26,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
179,Grand Gaube,MU,81.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
186,Comodoro Rivadavia,AR,78.66,broken clouds,-45.8667,-67.5,Austral Hotel
190,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
191,Port Blair,IN,74.05,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
194,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
197,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
198,Alyangula,AU,78.67,light rain,-13.8483,136.4192,Groote Eylandt Lodge
200,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
202,Vallenar,CL,80.67,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
206,Atuona,PF,79.03,broken clouds,-9.8,-139.0333,Villa Enata
208,Savannah Bight,HN,80.65,clear sky,16.45,-85.85,Villa on Dunbar Rock
211,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
214,Puerto Carreno,CO,89.58,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
215,Tecoanapa,MX,81.84,clear sky,16.5167,-98.75,Hotel Manglares
217,Hambantota,LK,71.24,broken clouds,6.1241,81.1185,Bungalow 63
221,Natal,BR,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
222,Escuintla,GT,86.68,few clouds,14.305,-90.785,HOTEL SARITA
223,Bubaque,GW,79.34,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
224,Mazatlan,MX,75.9,few clouds,23.2167,-106.4167,Hotel Playamar
230,Abonnema,NG,79.56,clear sky,4.7084,6.7931,Corper's Lodge Obonoma
232,Conceicao Do Araguaia,BR,75.42,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
233,Olavarria,AR,71.02,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
234,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
235,Mahibadhoo,MV,80.42,overcast clouds,3.7833,72.9667,Omadhoo Inn
239,Eydhafushi,MV,80.73,overcast clouds,5.1033,73.0708,Soneva Fushi
240,Alto Longa,BR,80.73,overcast clouds,-5.2511,-42.2103,pousada E Restaurante Longá
241,Neiafu,TO,84.88,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
242,San Carlos,VE,80.87,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
244,San Policarpo,PH,79.25,light rain,12.1791,125.5072,Agapita M. Nicart
247,Madimba,TZ,73.99,overcast clouds,-10.4,40.3333,
248,Terra Santa,BR,81.52,broken clouds,-2.1042,-56.4869,Hotel Sarah
250,Ahipara,NZ,73.36,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
251,Camocim,BR,79.83,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
254,Hithadhoo,MV,82.56,light rain,-0.6,73.0833,Scoop Guest House
255,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
257,Praya,CV,72.14,broken clouds,14.9215,-23.5087,LT Aparthotel
259,Cabo San Lucas,MX,80.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
261,Makakilo City,US,79.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
262,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Jebinrio home
