City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Raga,SS,8.4596,25.678,68.36,25,63,3.24,broken clouds
1,Kirakira,SB,-10.4544,161.9205,85.33,73,81,9.53,broken clouds
2,Mataura,NZ,-46.1927,168.8643,56.48,45,74,7.02,broken clouds
3,Nizhniy Tsasuchey,RU,50.5167,115.1333,-8.66,99,92,1.54,overcast clouds
4,Yongan,CN,39.6957,113.6871,21.72,89,7,1.54,clear sky
5,Sao Filipe,CV,14.8961,-24.4956,74.64,74,89,4.7,overcast clouds
6,Punta Arenas,CL,-53.15,-70.9167,53.71,66,75,11.5,broken clouds
7,East London,ZA,-33.0153,27.9116,72.66,71,0,18.07,clear sky
8,Orotukan,RU,62.2667,151.7,-31.2,89,80,3.69,broken clouds
9,Kapaa,US,22.0752,-159.319,76.98,77,100,1.01,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,72.37,74,0,26.75,clear sky
11,Verkhoyansk,RU,67.5447,133.385,-15.79,99,100,1.19,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,59.32,62,53,10.45,broken clouds
13,Ostrovnoy,RU,68.0531,39.5131,13.66,92,25,21.79,scattered clouds
14,Whitehorse,CA,60.7161,-135.0538,39.97,69,75,19.57,broken clouds
15,Korcula,HR,42.9622,17.1369,37.96,39,1,15.59,clear sky
16,Zhanaozen,KZ,43.3,52.8,29.28,77,51,16.69,broken clouds
17,Kutum,SD,14.2,24.6667,56.75,15,13,5.59,few clouds
18,Puerto Suarez,BO,-18.95,-57.8,89.64,43,80,6.17,broken clouds
19,Port Elizabeth,ZA,-33.918,25.5701,72.1,83,0,9.22,clear sky
20,Jiayuguan,CN,39.8167,98.3,20.08,56,2,1.41,clear sky
21,Butaritari,KI,3.0707,172.7902,82.83,71,92,12.62,overcast clouds
22,Victoria,HK,22.2855,114.1577,65.17,85,100,10.0,overcast clouds
23,Busselton,AU,-33.65,115.3333,71.1,46,4,6.73,clear sky
24,Faanui,PF,-16.4833,-151.75,81.3,76,100,16.33,light rain
25,Albany,US,42.6001,-73.9662,20.68,66,76,1.57,broken clouds
26,Nouadhibou,MR,20.931,-17.0347,69.78,60,36,12.66,scattered clouds
27,Ancud,CL,-41.8697,-73.8203,55.22,91,83,22.62,moderate rain
28,Tiksi,RU,71.6872,128.8694,-6.65,95,100,9.26,overcast clouds
29,Rikitea,PF,-23.1203,-134.9692,78.8,74,100,10.49,overcast clouds
30,Marienburg,PL,54.0359,19.0266,33.12,82,99,8.43,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,47.86,81,75,18.41,broken clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,82.36,77,95,8.12,overcast clouds
33,Slave Lake,CA,55.2834,-114.769,28.38,86,100,6.91,overcast clouds
34,Jeremoabo,BR,-10.075,-38.4808,77.34,68,72,9.62,broken clouds
35,Carutapera,BR,-1.195,-46.02,77.23,84,96,5.88,overcast clouds
36,Chapais,CA,49.7834,-74.8492,4.78,94,100,13.04,light snow
37,Havoysund,NO,70.9963,24.6622,32.88,72,100,31.41,overcast clouds
38,Hermanus,ZA,-34.4187,19.2345,80.91,68,60,7.52,broken clouds
39,Esperance,AU,-33.8667,121.9,64.24,74,58,2.71,broken clouds
40,Cape Town,ZA,-33.9258,18.4232,83.26,60,20,2.3,few clouds
41,Narsaq,GL,60.9167,-46.05,3.42,68,26,7.58,scattered clouds
42,Ust-Nera,RU,64.5667,143.2,-38.16,100,68,3.98,broken clouds
43,Chiredzi,ZW,-21.05,31.6667,68.56,65,47,8.43,scattered clouds
44,Geraldton,AU,-28.7667,114.6,68.41,49,0,5.75,clear sky
