City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2022-01-21 16:26:34,-20.4081,57.7,82.69,89,75,14.97
1,Hayden,US,2022-01-21 16:21:45,47.766,-116.7866,33.96,95,75,3.44
2,Yellowknife,CA,2022-01-21 16:26:35,62.456,-114.3525,-25.08,75,20,5.75
3,Kodiak,US,2022-01-21 16:26:35,57.79,-152.4072,38.71,93,100,0.0
4,Ponta Do Sol,PT,2022-01-21 16:26:36,32.6667,-17.1,70.12,51,100,13.4
5,Khatanga,RU,2022-01-21 16:26:36,71.9667,102.5,15.89,94,100,15.57
6,Hilo,US,2022-01-21 16:21:58,19.7297,-155.09,69.24,88,75,4.61
7,Cape Town,ZA,2022-01-21 16:24:01,-33.9258,18.4232,93.11,46,0,5.01
8,Rikitea,PF,2022-01-21 16:26:37,-23.1203,-134.9692,77.81,75,100,9.62
9,Tuktoyaktuk,CA,2022-01-21 16:26:37,69.4541,-133.0374,-27.4,68,75,5.75
10,Castro,BR,2022-01-21 16:26:38,-24.7911,-50.0119,81.37,54,7,4.25
11,Paraibano,BR,2022-01-21 16:26:38,-6.4331,-43.9836,86.76,54,2,3.94
12,Faya,SA,2022-01-21 16:26:38,18.3851,42.4509,57.31,69,13,5.01
13,East London,ZA,2022-01-21 16:24:12,-33.0153,27.9116,77.94,83,20,11.5
14,Saint-Augustin,CA,2022-01-21 16:26:39,51.226,-58.6502,-4.31,74,1,10.2
15,Ponta Delgada,PT,2022-01-21 16:26:39,37.7333,-25.6667,65.12,63,20,20.71
16,Kavieng,PG,2022-01-21 16:26:40,-2.5744,150.7967,82.22,72,100,3.02
17,Busselton,AU,2022-01-21 16:23:07,-33.65,115.3333,77.09,43,1,8.88
18,Murgab,TM,2022-01-21 16:26:40,37.4966,61.9714,37.27,75,100,23.02
19,Tasiilaq,GL,2022-01-21 16:26:41,65.6145,-37.6368,26.76,72,100,6.02
20,Saint-Philippe,RE,2022-01-21 16:26:41,-21.3585,55.7679,83.79,80,53,14.65
21,Bay-Khaak,RU,2022-01-21 16:26:41,51.1667,94.5,10.22,97,100,0.29
22,Goundam,ML,2022-01-21 16:26:42,16.4145,-3.6708,81.34,10,0,12.46
23,Ortisoara,RO,2022-01-21 16:22:08,45.9636,21.1983,28.15,80,9,6.22
24,Albany,US,2022-01-21 16:23:49,42.6001,-73.9662,13.62,62,54,1.01
25,Punta Arenas,CL,2022-01-21 16:23:12,-53.15,-70.9167,69.82,76,40,6.91
26,Esperance,AU,2022-01-21 16:26:44,-33.8667,121.9,66.04,90,31,10.31
27,Longyearbyen,SJ,2022-01-21 16:26:44,78.2186,15.6401,21.04,68,40,26.46
28,Nuuk,GL,2022-01-21 16:26:44,64.1835,-51.7216,13.87,85,100,0.0
29,Viedma,AR,2022-01-21 16:25:33,-40.8135,-62.9967,81.46,15,0,15.26
30,Nikolskoye,RU,2022-01-21 16:26:45,59.7035,30.7861,28.29,96,100,6.91
31,Port Macquarie,AU,2022-01-21 16:26:45,-31.4333,152.9167,64.89,80,59,9.06
32,Luwuk,ID,2022-01-21 16:26:49,-0.9516,122.7875,77.16,90,100,3.8
33,Unisan,PH,2022-01-21 16:26:49,13.8392,121.9783,74.59,89,11,5.44
34,Salalah,OM,2022-01-21 16:26:49,17.0151,54.0924,78.89,38,0,21.85
35,Capitao Poco,BR,2022-01-21 16:22:48,-1.7464,-47.0594,89.65,51,25,4.72
36,Aberdeen,GB,2022-01-21 16:25:56,57.1437,-2.0981,47.5,76,14,1.14
37,Namatanai,PG,2022-01-21 16:26:50,-3.6667,152.4333,78.91,82,99,4.68
38,Sorland,NO,2022-01-21 16:26:51,67.667,12.6934,33.87,57,99,19.66
39,Rosario,AR,2022-01-21 16:26:51,-32.9468,-60.6393,100.94,40,0,1.01
40,Thompson,CA,2022-01-21 16:23:28,55.7435,-97.8558,1.56,78,75,16.11
41,Quesnel,CA,2022-01-21 16:26:52,52.9999,-122.5029,30.7,93,100,2.3
42,Sinnamary,GF,2022-01-21 16:26:52,5.3833,-52.95,79.27,86,60,12.66
43,Margate,GB,2022-01-21 16:26:52,51.3813,1.3862,41.92,76,7,4.0
44,Rio Grande,BR,2022-01-21 16:22:35,-32.035,-52.0986,87.94,69,4,14.83
45,Hermanus,ZA,2022-01-21 16:27:53,-34.4187,19.2345,92.89,53,0,19.37
46,Atuona,PF,2022-01-21 16:27:53,-9.8,-139.0333,78.24,74,43,23.11
47,Ushuaia,AR,2022-01-21 16:27:34,-54.8,-68.3,65.82,63,40,6.91
48,Laguna,US,2022-01-21 16:27:51,38.421,-121.4238,55.53,85,0,4.0
49,Tabou,CI,2022-01-21 16:27:54,4.423,-7.3528,83.5,61,4,9.37
50,West Helena,US,2022-01-21 16:27:54,34.5507,-90.6418,26.6,47,93,11.88
51,Bluff,NZ,2022-01-21 16:27:55,-46.6,168.3333,55.8,75,91,19.55
52,Souillac,MU,2022-01-21 16:27:55,-20.5167,57.5167,82.78,89,75,14.97
